id,category,title,image,sha256,data_origin,historical,validation,note,origin_paths,scripts
BF-0001,heatmaps,染色质信号热图,docs/assets/gallery/domain-chromatin-heatmap.png,895d3c7915ed9e76be30469e066559c05246ca2c314c36db92fdc2a4ad5286ae,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-chromatin-heatmap.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0002,profiles,染色质信号曲线,docs/assets/gallery/domain-chromatin-profile.png,e735a543a0cfbe60f84eb781dca4a8b64f629c3927943301f5652526985908c2,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-chromatin-profile.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0003,multipanel,图像实验板示意,docs/assets/gallery/domain-imaging-assay.png,b26ab7f421760edcb6491592c130544b1b031664ca47c4ccb603b632465d0da5,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-imaging-assay.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0004,multipanel,机制关系示意,docs/assets/gallery/domain-mechanism.png,9c20a39bc3557f11f087081e6827dd68ab1b15972fc09efbebd64ebefdd088fd,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-mechanism.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0005,embeddings,代谢组 PCA,docs/assets/gallery/domain-metabolomics-pca.png,3853d3170cce55ec50f850b9294e06743302d926ccb3596fbe057f0a7840f2e9,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-metabolomics-pca.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0006,clinical,ROC 与校准曲线,docs/assets/gallery/domain-ml-evaluation.png,6b49f665c3451d97e769a46f17c9cc316a042a0a2f386a9818e9c2aa62b53837,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-ml-evaluation.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0007,correlations,跨组学关联,docs/assets/gallery/domain-multiomics-association.png,9491c88cf9601bfd9f7df8510ddb1815f169446450f7bc44669fdd1b34fdcd95,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-multiomics-association.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0008,multipanel,多面板证据组合,docs/assets/gallery/domain-multipanel-evidence.png,77a06b6b7225d66e4132b53bbd2e9d2094cf21dd1c3a326f5ae372c655759215,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-multipanel-evidence.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0009,embeddings,单细胞 UMAP 布局示意,docs/assets/gallery/domain-single-cell-umap.png,63e5828460e0d2f19d70d0db98c958376d9ce81215e17d28cf70818734070b41,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-single-cell-umap.png,biofigure/examples/gallery/generate_domain_gallery.R
BF-0010,embeddings,空间表达,docs/assets/gallery/domain-spatial-expression.png,17978ee7dc85e4869ddd13867021d07d1df960bee1730da6d0a854c87e782c31,simulated,False,gallery-file-verified; full-CP0-CP4-not-asserted,模拟数据／方法展示；非原论文数据复现。,Project_001_生物科研绘图Skill/docs/assets/gallery/domain-spatial-expression.png,biofigure/examples/gallery/generate_domain_gallery.R
